"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"06001","Alameda County, CA","365","77","271","5","9","3",".","248","79","57",".","1","20","344","."
"06005","Amador County, CA","364","288","70","6",".",".",".","129","71","40",".",".","364",".","."
"06007","Butte County, CA","365","97","228","22","10","3","5","682","104","59",".",".","141","223","1"
"06009","Calaveras County, CA","364","52","292","14","6",".",".","160","87","58",".",".","67","297","."
"06011","Colusa County, CA","365","206","131","10","17","1",".","299","84","46",".",".","128","221","16"
"06013","Contra Costa County, CA","365","111","236","7","8","3",".","270","74","55",".",".","40","325","."
"06015","Del Norte County, CA","180","134","46",".",".",".",".","80","57","33",".",".",".","180","."
"06017","El Dorado County, CA","365","221","107","27","9","1",".","203","101","45",".",".","345","10","10"
"06019","Fresno County, CA","365","61","206","79","19",".",".","185","133","75",".",".","208","154","3"
"06021","Glenn County, CA","363","242","105","9","6","1",".","255","71","39",".",".","128","189","46"
"06023","Humboldt County, CA","365","301","58","5","1",".",".","167","58","35",".","2","224","122","17"
"06025","Imperial County, CA","365","67","248","41","7","2",".","286","108","64",".","2","100","175","88"
"06027","Inyo County, CA","365","192","136","26","7","2","2","638","101","49",".",".","289","47","29"
"06029","Kern County, CA","365","45","190","103","27",".",".","190","142","84",".",".","223","130","12"
"06031","Kings County, CA","365","68","239","49","9",".",".","190","114","70",".",".","157","165","43"
"06033","Lake County, CA","357","344","10","1","1","1",".","233","43","33",".",".","342","13","2"
"06037","Los Angeles County, CA","365","7","250","89","18","1",".","201","130","78",".","20","150","194","1"
"06039","Madera County, CA","365","122","208","30","5",".",".","169","100","58",".",".","178","164","23"
"06041","Marin County, CA","365","235","117","3","9","1",".","243","63","43",".","8","82","275","."
"06043","Mariposa County, CA","365","156","169","10","13","15","2","352","108","53",".",".","223","142","."
"06045","Mendocino County, CA","364","217","126","13","6","1","1","376","69","46",".",".","69","294","1"
"06047","Merced County, CA","365","110","214","32","9",".",".","178","101","56",".","1","134","229","1"
"06051","Mono County, CA","365","252","84","14","10","3","2","1049","85","27",".",".",".","238","127"
"06053","Monterey County, CA","365","258","100","5","2",".",".","157","57","42",".",".","141","196","28"
"06055","Napa County, CA","364","210","142","4","8",".",".","195","65","46","1","1","87","274","1"
"06057","Nevada County, CA","363","231","104","19","7","2",".","218","87","45",".",".","311","52","."
"06059","Orange County, CA","365","114","233","15","3",".",".","160","86","54",".","15","113","234","3"
"06061","Placer County, CA","365","213","127","16","7","2",".","248","84","46",".","12","170","180","3"
"06063","Plumas County, CA","350","186","154","8","2",".",".","162","85","47",".",".",".","350","."
"06065","Riverside County, CA","365","32","193","102","32","6",".","296","153","87",".","1","209","120","35"
"06067","Sacramento County, CA","365","104","226","22","6","5","2","376","100","58",".","1","125","236","3"
"06069","San Benito County, CA","365","270","84","11",".",".",".","143","63","42",".",".","275","89","1"
"06071","San Bernardino County, CA","365","14","197","96","51","7",".","221","164","89",".","5","197","159","4"
"06073","San Diego County, CA","365","28","302","35",".",".",".","143","100","67",".",".","156","209","."
"06075","San Francisco County, CA","365","222","129","2","10","2",".","252","66","44","1","21","82","260","1"
"06077","San Joaquin County, CA","365","91","241","20","8","4","1","365","99","59",".",".","78","283","4"
"06079","San Luis Obispo County, CA","365","147","209","9",".",".",".","133","77","53",".",".","164","181","20"
"06081","San Mateo County, CA","365","236","116","3","10",".",".","197","61","42",".","9","88","268","."
"06083","Santa Barbara County, CA","365","173","190","2",".",".",".","114","67","51",".",".","156","199","10"
"06085","Santa Clara County, CA","365","154","194","6","9","2",".","214","72","53",".","1","88","276","."
"06087","Santa Cruz County, CA","365","273","82","5","5",".",".","177","56","41",".",".","125","240","."
"06089","Shasta County, CA","365","272","72","15","5","1",".","206","84","43",".",".","341","23","1"
"06093","Siskiyou County, CA","365","247","78","16","21","3",".","219","119","42",".",".","211","154","."
"06095","Solano County, CA","365","184","166","3","11","1",".","272","69","50",".","1","115","249","."
"06097","Sonoma County, CA","365","304","48","3","8","2",".","250","57","39",".","2","228","133","2"
"06099","Stanislaus County, CA","365","109","209","32","11","4",".","265","108","59",".",".","145","215","5"
"06101","Sutter County, CA","365","94","236","22","6","6","1","420","100","58",".",".","94","269","2"
"06103","Tehama County, CA","365","208","128","16","12","1",".","206","96","48",".",".","221","144","."
"06105","Trinity County, CA","291","117","155","12","5","2",".","209","82","54",".",".",".","291","."
"06107","Tulare County, CA","365","50","194","95","26",".",".","180","140","79",".",".","205","155","5"
"06109","Tuolumne County, CA","348","254","73","20","1",".",".","154","80","43",".",".","348",".","."
"06111","Ventura County, CA","365","94","254","16","1",".",".","166","88","57",".",".","108","246","11"
"06113","Yolo County, CA","365","216","135","5","7","2",".","260","71","45",".",".","193","172","."
