"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"06001","Alameda County, CA","365","155","200","9","1",".",".","151","71","53",".","1","96","268","."
"06005","Amador County, CA","365","307","54","4",".",".",".","133","67","37",".",".","365",".","."
"06007","Butte County, CA","365","160","174","18","10","3",".","257","90","53",".",".","171","191","3"
"06009","Calaveras County, CA","364","220","135","6","3",".",".","178","77","46",".",".","213","151","."
"06011","Colusa County, CA","365","111","238","9","6","1",".","225","76","55",".",".","59","293","13"
"06013","Contra Costa County, CA","365","195","165","5",".",".",".","150","69","47",".",".","133","232","."
"06015","Del Norte County, CA","323","259","64",".",".",".",".","72","54","31",".",".",".","323","."
"06017","El Dorado County, CA","365","247","96","16","4","1","1","375","93","43",".",".","349","10","6"
"06019","Fresno County, CA","365","62","221","63","17","2",".","278","130","68",".",".","133","224","8"
"06021","Glenn County, CA","365","244","106","9","6",".",".","192","65","42",".",".","178","179","8"
"06023","Humboldt County, CA","365","333","32",".",".",".",".","64","48","29","12",".","213","78","62"
"06025","Imperial County, CA","365","84","252","22","4","1","2","436","97","60",".",".","132","133","100"
"06027","Inyo County, CA","365","100","223","24","12","3","3","558","115","61",".",".","146","191","28"
"06029","Kern County, CA","365","35","202","97","29","1","1","314","147","84",".",".","149","201","15"
"06031","Kings County, CA","365","84","230","40","10",".","1","685","109","64",".",".","115","172","78"
"06033","Lake County, CA","356","348","7",".","1",".",".","157","43","33",".",".","335","19","2"
"06037","Los Angeles County, CA","365","9","259","70","26","1",".","281","143","79",".","13","146","202","4"
"06039","Madera County, CA","365","133","197","28","7",".",".","194","100","58",".",".","203","136","26"
"06041","Marin County, CA","365","267","98",".",".",".",".","88","60","38",".","1","143","221","."
"06043","Mariposa County, CA","365","193","140","25","7",".",".","162","97","49",".",".","290","75","."
"06045","Mendocino County, CA","365","210","147","6","2",".",".","185","69","46",".",".","72","293","."
"06047","Merced County, CA","365","155","177","31","2",".",".","166","100","54",".",".","203","158","4"
"06051","Mono County, CA","364","260","78","12","11",".","3","2971","84","27",".",".",".","248","116"
"06053","Monterey County, CA","365","261","104",".",".",".",".","80","57","41",".",".","153","202","10"
"06055","Napa County, CA","140","108","32",".",".",".",".","77","56","41","1",".","71","68","."
"06057","Nevada County, CA","365","183","129","34","13","4","2","326","115","50",".",".","203","162","."
"06059","Orange County, CA","365","109","238","18",".",".",".","148","87","55",".","5","122","234","4"
"06061","Placer County, CA","365","130","187","30","9","6","3","692","115","58",".",".","217","147","1"
"06063","Plumas County, CA","365","97","184","37","24","16","7","654","170","67",".",".",".","365","."
"06065","Riverside County, CA","365","19","210","89","44","2","1","329","158","89",".",".","186","133","46"
"06067","Sacramento County, CA","365","146","183","30","4","1","1","381","100","55",".",".","193","168","4"
"06069","San Benito County, CA","365","295","70",".",".",".",".","100","55","41",".",".","272","87","6"
"06071","San Bernardino County, CA","365","17","202","73","61","11","1","486","172","87",".","5","186","161","13"
"06073","San Diego County, CA","365","52","297","16",".",".",".","133","90","67",".",".","159","203","3"
"06075","San Francisco County, CA","365","255","110",".",".",".",".","86","60","39",".","7","159","199","."
"06077","San Joaquin County, CA","365","140","209","15","1",".",".","153","84","55",".",".","107","238","20"
"06079","San Luis Obispo County, CA","365","154","203","8",".",".",".","133","77","53",".",".","185","175","5"
"06081","San Mateo County, CA","365","290","75",".",".",".",".","90","56","36",".","3","194","168","."
"06083","Santa Barbara County, CA","365","240","124","1",".",".",".","101","60","44",".",".","174","190","1"
"06085","Santa Clara County, CA","365","147","211","7",".",".",".","147","72","53",".",".","85","280","."
"06087","Santa Cruz County, CA","365","298","67",".",".",".",".","80","54","37",".",".","183","182","."
"06089","Shasta County, CA","365","222","111","15","12","5",".","240","93","46",".",".","263","102","."
"06093","Siskiyou County, CA","364","237","96","7","21","3",".","210","86","43",".",".","174","190","."
"06095","Solano County, CA","365","215","147","3",".",".",".","126","66","44",".",".","165","200","."
"06097","Sonoma County, CA","365","283","82",".",".",".",".","89","57","37",".",".","149","210","6"
"06099","Stanislaus County, CA","365","84","234","42","5",".",".","172","105","61",".",".","131","232","2"
"06101","Sutter County, CA","364","102","240","17","5",".",".","175","90","59",".",".","91","272","1"
"06103","Tehama County, CA","365","207","122","21","15",".",".","193","100","47",".",".","252","113","."
"06105","Trinity County, CA","328","201","81","4","19","9","14","1217","168","38",".",".",".","328","."
"06107","Tulare County, CA","365","49","182","93","38","2","1","961","154","81",".",".","168","192","5"
"06109","Tuolumne County, CA","360","295","63","2",".",".",".","136","61","41",".",".","360",".","."
"06111","Ventura County, CA","365","157","198","10",".",".",".","122","80","53",".",".","210","145","10"
"06113","Yolo County, CA","365","242","117","4","2",".",".","159","68","42",".",".","212","152","1"
