"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"06001","Alameda County, CA","365","106","245","9","4","1",".","205","78","56",".","5","48","312","."
"06005","Amador County, CA","362","291","67","4",".",".",".","136","64","38",".",".","362",".","."
"06007","Butte County, CA","365","100","241","23","1",".",".","155","95","59",".",".","142","221","2"
"06009","Calaveras County, CA","354","118","222","12","2",".",".","172","87","57",".",".","196","157","1"
"06011","Colusa County, CA","365","237","120","7",".","1",".","213","67","43",".",".","163","182","20"
"06013","Contra Costa County, CA","365","131","222","8","4",".",".","175","76","54",".",".","51","314","."
"06015","Del Norte County, CA","298","241","55",".","1","1",".","251","56","27",".",".",".","298","."
"06017","El Dorado County, CA","362","235","96","31",".",".",".","147","100","45",".",".","325","8","29"
"06019","Fresno County, CA","365","76","169","93","26","1",".","207","140","75",".","2","209","144","10"
"06021","Glenn County, CA","365","231","127","7",".",".",".","150","63","46",".",".","137","190","38"
"06023","Humboldt County, CA","365","298","59","5","3",".",".","180","61","37","1",".","224","129","11"
"06025","Imperial County, CA","365","73","250","37","2","2","1","328","104","64",".","2","137","169","57"
"06027","Inyo County, CA","365","195","145","16","3",".","6","2234","87","49",".",".","255","59","51"
"06029","Kern County, CA","365","59","167","115","24",".",".","197","140","85",".",".","229","127","9"
"06031","Kings County, CA","365","82","212","50","21",".",".","192","125","72",".",".","181","150","34"
"06033","Lake County, CA","362","350","10","1","1",".",".","172","44","35",".",".","344","17","1"
"06037","Los Angeles County, CA","365","9","237","73","38","8",".","224","156","79",".","16","154","195","."
"06039","Madera County, CA","365","117","200","42","6",".",".","166","105","62",".","1","207","142","15"
"06041","Marin County, CA","365","224","133","5","3",".",".","164","62","44",".","4","77","284","."
"06043","Mariposa County, CA","365","146","179","31","9",".",".","189","101","54",".",".","209","156","."
"06045","Mendocino County, CA","365","226","131","7",".","1",".","203","70","45",".",".","99","263","3"
"06047","Merced County, CA","364","127","203","31","3",".",".","161","100","58",".",".","168","195","1"
"06051","Mono County, CA","365","300","40","5","1","4","15","3767","63","18",".",".",".","42","323"
"06053","Monterey County, CA","365","265","99","1",".",".",".","121","58","41",".",".","175","160","30"
"06055","Napa County, CA","365","137","214","7","5","2",".","274","71","53","1","1","31","332","."
"06057","Nevada County, CA","365","194","90","62","19",".",".","185","133","49",".",".","342","23","."
"06059","Orange County, CA","365","86","247","30","2",".",".","151","97","59",".","13","134","215","3"
"06061","Placer County, CA","365","211","145","7","2",".",".","156","77","46",".","4","224","135","2"
"06063","Plumas County, CA","351","184","142","17","8",".",".","189","90","47",".",".",".","351","."
"06065","Riverside County, CA","365","26","188","100","43","6","2","359","161","87",".","1","211","122","31"
"06067","Sacramento County, CA","365","105","225","33","2",".",".","164","100","60",".",".","143","218","4"
"06069","San Benito County, CA","365","284","79","2",".",".",".","117","64","41",".",".","310","52","3"
"06071","San Bernardino County, CA","365","9","209","73","51","23",".","233","185","84",".","8","202","141","14"
"06073","San Diego County, CA","365","41","262","56","6",".",".","174","112","68",".",".","200","165","."
"06075","San Francisco County, CA","365","211","147","7",".",".",".","136","67","44",".","23","100","242","."
"06077","San Joaquin County, CA","365","141","191","33",".",".",".","146","100","55",".","2","145","209","9"
"06079","San Luis Obispo County, CA","365","107","250","8",".",".",".","133","82","58",".",".","153","195","17"
"06081","San Mateo County, CA","365","238","120","4","3",".",".","155","62","42",".","10","121","234","."
"06083","Santa Barbara County, CA","365","181","167","6","8","2","1","313","74","51",".",".","159","198","8"
"06085","Santa Clara County, CA","365","174","179","9","3",".",".","182","75","52",".","3","124","238","."
"06087","Santa Cruz County, CA","365","269","92","4",".",".",".","130","61","39",".",".","167","198","."
"06089","Shasta County, CA","365","260","91","12","2",".",".","159","84","44",".",".","346","19","."
"06093","Siskiyou County, CA","225","198","23","3","1",".",".","167","57","28",".",".","134","91","."
"06095","Solano County, CA","365","173","182","5","5",".",".","184","73","52",".","1","118","246","."
"06097","Sonoma County, CA","365","267","93","2","3",".",".","169","60","41",".",".","182","182","1"
"06099","Stanislaus County, CA","365","127","175","55","8",".",".","185","112","61",".","1","205","152","7"
"06101","Sutter County, CA","365","128","228","9",".",".",".","130","84","56",".",".","128","234","3"
"06103","Tehama County, CA","365","237","119","6","3",".",".","172","77","42",".",".","270","95","."
"06105","Trinity County, CA","203","76","116","6","1","1","3","844","91","57",".",".",".","203","."
"06107","Tulare County, CA","365","67","171","96","31",".",".","174","147","81",".",".","208","150","7"
"06109","Tuolumne County, CA","362","231","106","25",".",".",".","143","93","44",".",".","362",".","."
"06111","Ventura County, CA","365","117","215","20","6","5","2","961","100","57",".",".","168","190","7"
"06113","Yolo County, CA","365","228","130","6","1",".",".","154","71","45",".",".","215","149","1"
