"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"06001","Alameda County, CA","366","186","176","3","1",".",".","161","68","50",".","7","105","254","."
"06003","Alpine County, CA","24","13","10","1",".",".",".","111","67","49.5",".",".",".","24","."
"06005","Amador County, CA","363","257","86","19","1",".",".","156","90","40",".",".","363",".","."
"06007","Butte County, CA","366","116","219","23","8",".",".","199","97","57",".",".","181","185","."
"06009","Calaveras County, CA","366","213","140","12","1",".",".","156","87","47",".",".","248","117","1"
"06011","Colusa County, CA","366","130","229","3","2","2",".","227","74","56",".",".","60","305","1"
"06013","Contra Costa County, CA","366","277","85","3","1",".",".","154","67","41",".","7","272","87","."
"06015","Del Norte County, CA","119","117","2",".",".",".",".","54","31","12",".",".",".","99","20"
"06017","El Dorado County, CA","366","212","102","46","6",".",".","177","105","45",".",".","366",".","."
"06019","Fresno County, CA","366","45","187","92","41","1",".","212","151","82",".",".","194","172","."
"06021","Glenn County, CA","366","223","142","1",".",".",".","106","70","46",".",".","213","151","2"
"06023","Humboldt County, CA","366","252","114",".",".",".",".","76","58","39",".",".","138","228","."
"06025","Imperial County, CA","366","160","167","34","4","1",".","274","101","54.5","2","56","218","81","9"
"06027","Inyo County, CA","366","198","139","15","4","2","8","4182","93","49",".",".","262","28","76"
"06029","Kern County, CA","366","39","185","92","49","1",".","202","154","85",".",".","188","174","4"
"06031","Kings County, CA","366","93","207","60","6",".",".","172","114","67.5",".",".","184","166","16"
"06033","Lake County, CA","362","336","23","3",".",".",".","143","48","35",".",".","354","8","."
"06037","Los Angeles County, CA","366","14","222","93","35","2",".","207","151","84",".","11","160","193","2"
"06039","Madera County, CA","366","59","226","70","11",".",".","200","129","68",".",".","168","192","6"
"06041","Marin County, CA","366","254","112",".",".",".",".","83","58","42",".","5","79","282","."
"06043","Mariposa County, CA","366","132","188","44","2",".",".","166","105","57.5",".",".","253","113","."
"06045","Mendocino County, CA","357","277","80",".",".",".",".","80","57","38",".",".","131","225","1"
"06047","Merced County, CA","366","136","196","33","1",".",".","151","97","57",".",".","203","160","3"
"06051","Mono County, CA","366","326","16","5","5",".","14","4244","54","18",".",".",".","47","319"
"06053","Monterey County, CA","366","285","81",".",".",".",".","84","55","40.5","1","1","162","189","13"
"06055","Napa County, CA","366","224","142",".",".",".",".","85","66","44","2","5","143","216","."
"06057","Nevada County, CA","366","226","112","26","2",".",".","164","97","43",".",".","341","25","."
"06059","Orange County, CA","366","75","279","12",".",".",".","147","84","60",".","4","72","289","1"
"06061","Placer County, CA","366","145","180","35","6",".",".","170","105","54",".","3","205","158","."
"06063","Plumas County, CA","124","67","49","8",".",".",".","124","92","47",".",".",".","124","."
"06065","Riverside County, CA","366","10","189","113","53","1",".","233","156","94",".",".","173","158","35"
"06067","Sacramento County, CA","366","152","157","46","10","1",".","201","119","56",".","4","242","119","1"
"06069","San Benito County, CA","366","272","86","8",".",".",".","133","71","42",".",".","314","51","1"
"06071","San Bernardino County, CA","366","20","203","84","51","8",".","207","169","90",".","6","201","151","8"
"06073","San Diego County, CA","366","26","304","35","1",".",".","170","100","67",".","4","113","221","28"
"06075","San Francisco County, CA","364","238","124","2",".",".",".","105","63","42","3","41","99","221","."
"06077","San Joaquin County, CA","366","88","236","38","4",".",".","182","101","60",".",".","142","220","4"
"06079","San Luis Obispo County, CA","366","113","216","35","2",".",".","154","101","57",".",".","209","146","11"
"06081","San Mateo County, CA","366","233","133",".",".",".",".","98","61","42",".","10","96","260","."
"06083","Santa Barbara County, CA","366","158","205","3",".",".",".","136","67","52",".",".","180","186","."
"06085","Santa Clara County, CA","366","159","201","6",".",".",".","122","69","52",".","2","90","274","."
"06087","Santa Cruz County, CA","365","328","36","1",".",".",".","101","51","36",".",".","204","161","."
"06089","Shasta County, CA","366","256","104","5","1",".",".","180","77","44",".",".","351","15","."
"06093","Siskiyou County, CA","362","324","35","1","2",".",".","168","51","37",".",".","333","27","2"
"06095","Solano County, CA","366","208","153","5",".",".",".","140","69","46",".","5","166","195","."
"06097","Sonoma County, CA","366","240","126",".",".",".",".","82","61","41",".","5","128","233","."
"06099","Stanislaus County, CA","366","95","192","67","11","1",".","201","125","64",".",".","170","196","."
"06101","Sutter County, CA","366","159","190","17",".",".",".","150","86","53",".","4","192","169","1"
"06103","Tehama County, CA","366","183","164","19",".",".",".","150","93","50.5",".",".","236","130","."
"06105","Trinity County, CA","343","156","152","28","6","1",".","243","101","54",".",".",".","343","."
"06107","Tulare County, CA","366","63","165","98","40",".",".","195","151","80.5",".",".","213","152","1"
"06109","Tuolumne County, CA","364","246","105","13",".",".",".","136","87","42",".",".","364",".","."
"06111","Ventura County, CA","366","116","218","31","1",".",".","154","97","58",".",".","189","176","1"
"06113","Yolo County, CA","366","201","157","8",".",".",".","133","74","49",".",".","187","179","."
