"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"06001","Alameda County, CA","365","146","207","12",".",".",".","147","79","54",".","4","112","249","."
"06003","Alpine County, CA","31","1","14","13","3",".",".","177","149","102",".",".",".","31","."
"06005","Amador County, CA","364","283","73","8",".",".",".","140","67","41",".",".","364",".","."
"06007","Butte County, CA","365","138","214","12","1",".",".","153","84","55",".",".","193","171","1"
"06009","Calaveras County, CA","365","216","127","18","1","1","2","390","90","47",".",".","244","121","."
"06011","Colusa County, CA","365","141","218","4","1","1",".","208","73","53",".",".","85","279","1"
"06013","Contra Costa County, CA","365","193","164","8",".",".",".","147","70","48",".",".","132","233","."
"06015","Del Norte County, CA","114","101","13",".",".",".",".","72","51","20",".",".",".","114","."
"06017","El Dorado County, CA","365","238","103","22","2",".",".","166","93","44",".",".","345","9","11"
"06019","Fresno County, CA","365","38","225","78","23","1",".","205","136","80",".",".","201","160","4"
"06021","Glenn County, CA","365","221","144",".",".",".",".","93","68","46",".",".","199","154","12"
"06023","Humboldt County, CA","365","241","124",".",".",".",".","91","59","40",".",".","140","221","4"
"06025","Imperial County, CA","365","49","274","39","3",".",".","184","105","66",".","1","112","179","73"
"06027","Inyo County, CA","365","191","153","12","6",".","3","1482","90","49",".",".","263","56","46"
"06029","Kern County, CA","365","23","220","93","28","1",".","201","146","84",".",".","204","158","3"
"06031","Kings County, CA","365","72","223","60","10",".",".","182","119","74",".",".","177","154","34"
"06033","Lake County, CA","363","351","11","1",".",".",".","148","47","36",".",".","359","4","."
"06037","Los Angeles County, CA","365","3","230","95","36","1",".","203","151","80",".","13","163","187","2"
"06039","Madera County, CA","365","78","240","43","4",".",".","156","105","64",".",".","184","164","17"
"06041","Marin County, CA","365","226","137","2",".",".",".","103","64","43","1","10","122","232","."
"06043","Mariposa County, CA","365","220","134","6","4","1",".","240","84","47",".",".","284","72","9"
"06045","Mendocino County, CA","365","213","148","2","2",".",".","164","61","46",".",".","62","303","."
"06047","Merced County, CA","365","107","213","41","4",".",".","159","105","61",".",".","183","182","."
"06051","Mono County, CA","365","318","28","2","4","1","12","4384","54","15",".",".",".","50","315"
"06053","Monterey County, CA","365","285","79","1",".",".",".","120","54","41",".","1","154","199","11"
"06055","Napa County, CA","365","158","206","1",".",".",".","108","72","53","1",".","103","259","2"
"06057","Nevada County, CA","364","213","120","29","2",".",".","166","93","48",".",".","350","14","."
"06059","Orange County, CA","365","57","287","19","2",".",".","156","87","61",".","12","73","279","1"
"06061","Placer County, CA","365","179","177","8","1",".",".","189","77","51",".","3","143","219","."
"06063","Plumas County, CA","132","52","66","10","4",".",".","159","102","56",".",".",".","132","."
"06065","Riverside County, CA","365","19","206","106","32","2",".","238","150","88",".",".","175","136","54"
"06067","Sacramento County, CA","365","101","237","24","3",".",".","172","93","58",".",".","144","221","."
"06069","San Benito County, CA","365","303","62",".",".",".",".","93","58","40",".",".","312","52","1"
"06071","San Bernardino County, CA","365","14","221","88","37","5",".","223","154","84",".","13","191","155","6"
"06073","San Diego County, CA","365","46","278","40","1",".",".","156","102","65",".","1","153","209","2"
"06075","San Francisco County, CA","365","246","119",".",".",".",".","100","61","39",".","36","133","196","."
"06077","San Joaquin County, CA","365","83","246","32","4",".",".","164","100","60",".",".","119","242","4"
"06079","San Luis Obispo County, CA","365","95","265","5",".",".",".","126","80","58",".",".","119","239","7"
"06081","San Mateo County, CA","365","297","67","1",".",".",".","101","56","35","1","18","194","152","."
"06083","Santa Barbara County, CA","365","168","196","1",".",".",".","101","69","51",".","2","149","211","3"
"06085","Santa Clara County, CA","365","179","179","7",".",".",".","147","71","51",".","5","113","247","."
"06087","Santa Cruz County, CA","365","282","83",".",".",".",".","95","59","38",".",".","179","186","."
"06089","Shasta County, CA","365","252","100","12","1",".",".","157","84","44",".",".","351","14","."
"06093","Siskiyou County, CA","362","330","28","4",".",".",".","139","49","36",".",".","331","29","2"
"06095","Solano County, CA","365","186","175","4",".",".",".","118","74","50",".","6","136","222","1"
"06097","Sonoma County, CA","365","293","72",".",".",".",".","90","58","37",".",".","207","155","3"
"06099","Stanislaus County, CA","365","92","225","43","5",".",".","187","112","62",".",".","161","197","7"
"06101","Sutter County, CA","365","157","200","8",".",".",".","119","86","54","1",".","180","184","."
"06103","Tehama County, CA","365","223","123","18","1",".",".","154","87","47",".",".","301","62","2"
"06105","Trinity County, CA","68","67","1",".",".",".",".","56","29","12",".",".",".","68","."
"06107","Tulare County, CA","365","29","238","78","20",".",".","176","143","80",".",".","190","173","2"
"06109","Tuolumne County, CA","364","264","89","11",".",".",".","126","77","43",".",".","364",".","."
"06111","Ventura County, CA","365","119","233","13",".",".",".","126","85","56",".","2","150","210","3"
"06113","Yolo County, CA","365","185","176","4",".",".",".","103","77","50",".","1","156","208","."
