"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"06001","Alameda County, CA","366","169","177","8","11","1",".","243","81","52",".","4","78","284","."
"06005","Amador County, CA","359","327","29","2","1",".",".","156","50","37",".",".","359",".","."
"06007","Butte County, CA","366","149","178","18","16","3","2","508","110","54",".",".","155","208","3"
"06009","Calaveras County, CA","364","206","135","10","12","1",".","210","79","48",".",".","177","182","5"
"06011","Colusa County, CA","366","218","116","9","22","1",".","221","87","41.5",".",".","141","197","28"
"06013","Contra Costa County, CA","366","192","156","7","10","1",".","221","75","49",".","1","102","263","."
"06015","Del Norte County, CA","292","193","90","4","3","2",".","245","61","42",".",".",".","292","."
"06017","El Dorado County, CA","366","256","87","17","6",".",".","190","90","43",".",".","346","13","7"
"06019","Fresno County, CA","366","75","192","59","31","8","1","346","154","76",".",".","147","210","9"
"06021","Glenn County, CA","364","200","135","7","19","3",".","221","84","46",".",".","145","208","11"
"06023","Humboldt County, CA","366","318","45","3",".",".",".","109","53","29",".",".","220","81","65"
"06025","Imperial County, CA","366","94","244","26","2",".",".","166","97","60",".",".","149","150","67"
"06027","Inyo County, CA","366","158","153","23","16","8","8","705","130","56",".",".","215","131","20"
"06029","Kern County, CA","366","56","180","98","28","4",".","267","140","83",".",".","180","170","16"
"06031","Kings County, CA","366","76","220","54","13","2","1","548","124","70",".",".","116","201","49"
"06033","Lake County, CA","351","341","6","1","3",".",".","190","44","32",".",".","323","26","2"
"06037","Los Angeles County, CA","366","35","194","77","43","17",".","250","166","85",".","6","177","181","2"
"06039","Madera County, CA","366","104","209","34","15","4",".","275","113","64",".",".","169","177","20"
"06041","Marin County, CA","366","272","85","4","4","1",".","231","62","36",".","6","142","218","."
"06043","Mariposa County, CA","366","195","123","27","10","6","5","1073","111","49",".",".","272","87","7"
"06045","Mendocino County, CA","366","240","103","10","10",".","3","716","79","40",".",".","106","258","2"
"06047","Merced County, CA","366","131","203","17","15",".",".","194","96","56.5",".",".","154","211","1"
"06051","Mono County, CA","366","183","117","13","14","11","28","2088","224","50",".",".",".","333","33"
"06053","Monterey County, CA","366","259","92","4","8","3",".","275","64","39",".",".","159","178","29"
"06055","Napa County, CA","365","259","91","7","7","1",".","224","66","39","3",".","158","204","."
"06057","Nevada County, CA","366","223","111","15","11","6",".","277","91","46",".",".","172","194","."
"06059","Orange County, CA","366","118","207","28","11","2",".","218","108","56",".","2","147","214","3"
"06061","Placer County, CA","366","130","195","20","15","6",".","247","108","57",".",".","177","181","8"
"06063","Plumas County, CA","360","135","175","16","17","10","7","755","140.5","56",".",".",".","360","."
"06065","Riverside County, CA","366","42","179","98","36","9","2","584","159","87",".",".","208","126","32"
"06067","Sacramento County, CA","366","145","185","17","16","3",".","226","100","55",".",".","164","193","9"
"06069","San Benito County, CA","366","271","78","8","9",".",".","174","68","41",".",".","236","122","8"
"06071","San Bernardino County, CA","366","33","170","76","69","18",".","236","185","93",".","5","216","132","13"
"06073","San Diego County, CA","366","33","284","35","14",".",".","192","108","73.5",".",".","91","272","3"
"06075","San Francisco County, CA","366","227","131","3","4","1",".","223","67","42",".","5","111","250","."
"06077","San Joaquin County, CA","366","162","173","16","13","2",".","215","97","54",".",".","123","228","15"
"06079","San Luis Obispo County, CA","366","161","174","21","7","1","2","334","90","53",".",".","176","184","6"
"06081","San Mateo County, CA","366","257","99","5","5",".",".","199","64","37",".","10","133","223","."
"06083","Santa Barbara County, CA","366","199","154","9","4",".",".","174","68","48",".",".","146","217","3"
"06085","Santa Clara County, CA","366","174","172","11","9",".",".","198","81","52",".","3","101","262","."
"06087","Santa Cruz County, CA","366","261","85","6","10","1","3","624","68","38.5",".",".","128","238","."
"06089","Shasta County, CA","366","286","72","6","2",".",".","171","67","41",".",".","325","41","."
"06093","Siskiyou County, CA","366","272","71","10","9","2","2","468","66","38.5",".",".","205","161","."
"06095","Solano County, CA","366","183","167","9","6","1",".","228","77","50.5",".",".","122","243","1"
"06097","Sonoma County, CA","366","290","69","1","6",".",".","199","57","36",".","1","155","200","10"
"06099","Stanislaus County, CA","366","131","198","21","16",".",".","195","102","60",".","1","165","186","14"
"06101","Sutter County, CA","366","162","173","15","13","2","1","356","90","53",".",".","135","228","3"
"06103","Tehama County, CA","366","216","117","12","19","2",".","218","94","46",".",".","212","154","."
"06105","Trinity County, CA","343","215","100","12","13","3",".","211","81","36",".",".",".","343","."
"06107","Tulare County, CA","366","52","179","103","30","2",".","225","145","80",".",".","162","192","12"
"06109","Tuolumne County, CA","353","277","71","5",".",".",".","143","64","41",".",".","353",".","."
"06111","Ventura County, CA","366","185","155","21","5",".",".","174","90","50",".",".","235","123","8"
"06113","Yolo County, CA","366","215","123","14","13","1",".","209","86","44.5",".",".","165","201","."
