"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"06001","Alameda County, CA","365","198","154","13",".",".",".","130","70","48","1","14","126","224","."
"06005","Amador County, CA","360","341","19",".",".",".",".","80","48","36",".",".","360",".","."
"06007","Butte County, CA","365","191","174",".",".",".",".","100","71","50",".",".","196","163","6"
"06009","Calaveras County, CA","365","292","72","1",".",".",".","101","56","40",".",".","272","92","1"
"06011","Colusa County, CA","365","115","250",".",".",".",".","98","66","55",".",".","97","268","."
"06013","Contra Costa County, CA","365","173","190","2",".",".",".","110","64","51",".","1","87","277","."
"06015","Del Norte County, CA","328","268","52","6","2",".",".","187","55","32",".",".",".","328","."
"06017","El Dorado County, CA","365","259","101","5",".",".",".","119","77","44",".",".","347","12","6"
"06019","Fresno County, CA","365","97","210","55","3",".",".","156","112","64",".",".","205","150","10"
"06021","Glenn County, CA","363","273","90",".",".",".",".","97","58","41",".",".","225","137","1"
"06023","Humboldt County, CA","365","284","70","6","1","4",".","299","60","32",".",".","184","156","25"
"06025","Imperial County, CA","365","104","214","37","3","3","4","506","105","61",".","1","167","107","90"
"06027","Inyo County, CA","365","106","236","13","3","1","6","786","90","61",".",".","199","125","41"
"06029","Kern County, CA","365","85","210","58","12",".",".","174","122","69",".","1","216","138","10"
"06031","Kings County, CA","365","124","213","28",".",".",".","148","95","58",".",".","149","171","45"
"06033","Lake County, CA","363","357","6",".",".",".",".","67","39","32",".",".","353","10","."
"06037","Los Angeles County, CA","365","41","237","52","32","3",".","210","147","67",".","4","145","210","6"
"06039","Madera County, CA","365","162","188","14","1",".",".","151","84","52",".",".","203","146","16"
"06041","Marin County, CA","363","314","49",".",".",".",".","99","53","34",".","2","207","153","1"
"06043","Mariposa County, CA","365","217","131","10","5","2",".","264","77","47",".",".","246","119","."
"06045","Mendocino County, CA","365","144","216","5",".",".",".","140","69","53",".",".","25","340","."
"06047","Merced County, CA","365","171","179","15",".",".",".","129","87","51",".",".","215","135","15"
"06051","Mono County, CA","365","325","35","1","1",".","3","1829","51","24",".",".",".","242","123"
"06053","Monterey County, CA","365","274","90","1",".",".",".","115","55","42",".",".","138","220","7"
"06057","Nevada County, CA","365","284","81",".",".",".",".","97","55","42",".",".","103","262","."
"06059","Orange County, CA","365","160","195","9","1",".",".","166","77","52",".","13","135","213","4"
"06061","Placer County, CA","365","164","193","8",".",".",".","143","80","52",".",".","240","125","."
"06063","Plumas County, CA","365","186","168","11",".",".",".","142","87","50",".",".",".","365","."
"06065","Riverside County, CA","365","62","187","73","33","6","4","660","156","79",".","1","199","105","60"
"06067","Sacramento County, CA","365","180","173","12",".",".",".","133","86","51",".",".","191","174","."
"06069","San Benito County, CA","365","316","48","1",".",".",".","111","54","40",".",".","334","28","3"
"06071","San Bernardino County, CA","365","50","197","67","44","7",".","214","164","71",".","11","202","142","10"
"06073","San Diego County, CA","365","61","260","44",".",".",".","150","101","67",".","1","178","157","29"
"06075","San Francisco County, CA","365","337","28",".",".",".",".","65","45","30","4","47","220","92","2"
"06077","San Joaquin County, CA","365","208","148","9",".",".",".","119","78","47",".",".","154","201","10"
"06079","San Luis Obispo County, CA","365","207","152","6",".",".",".","122","77","47",".","2","239","121","3"
"06081","San Mateo County, CA","365","251","113","1",".",".",".","115","58","41","3","6","105","251","."
"06083","Santa Barbara County, CA","365","232","133",".",".",".",".","95","59","45",".",".","156","201","8"
"06085","Santa Clara County, CA","365","239","122","4",".",".",".","134","63","43",".","2","174","189","."
"06087","Santa Cruz County, CA","365","300","64","1",".",".",".","130","53","36",".",".","169","196","."
"06089","Shasta County, CA","365","247","112","5",".",".","1","1435","64","45",".",".","268","97","."
"06093","Siskiyou County, CA","365","270","78","7","6","3","1","320","64","43",".",".","205","160","."
"06095","Solano County, CA","365","269","95","1",".",".",".","105","57","40",".","1","237","127","."
"06097","Sonoma County, CA","365","323","40","2",".",".",".","117","51","33",".",".","230","132","3"
"06099","Stanislaus County, CA","365","166","176","23",".",".",".","150","93","54",".",".","191","170","4"
"06101","Sutter County, CA","363","192","168","3",".",".",".","105","69","49",".",".","214","149","."
"06103","Tehama County, CA","365","242","117","6",".",".",".","136","67","44",".",".","280","82","3"
"06105","Trinity County, CA","311","209","93","6","3",".",".","174","65","31",".",".",".","311","."
"06107","Tulare County, CA","365","94","189","61","19","2",".","242","126","69",".",".","203","157","5"
"06109","Tuolumne County, CA","290","237","51","2",".",".",".","112","59.5","43",".",".","290",".","."
"06111","Ventura County, CA","365","220","133","12",".",".",".","136","80","46",".",".","231","130","4"
"06113","Yolo County, CA","365","246","117","2",".",".",".","108","65","43",".",".","219","146","."
