"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"06001","Alameda County, CA","365","105","252","8",".",".",".","122","81","56",".","3","35","327","."
"06003","Alpine County, CA","32","18","7",".","5","2",".","270","184","43",".",".",".","32","."
"06005","Amador County, CA","365","301","62","2",".",".",".","108","61","38",".",".","365",".","."
"06007","Butte County, CA","365","104","252","8","1",".",".","169","90","59",".",".","153","212","."
"06009","Calaveras County, CA","364","172","190","2",".",".",".","119","66","51",".",".","161","203","."
"06011","Colusa County, CA","364","176","186","2",".",".",".","126","67","51",".",".","64","298","2"
"06013","Contra Costa County, CA","365","117","245","3",".",".",".","115","73","55",".",".","45","320","."
"06015","Del Norte County, CA","126","121","5",".",".",".",".","75","27","15.5",".",".",".","105","21"
"06017","El Dorado County, CA","365","221","121","23",".",".",".","147","90","45",".",".","361","4","."
"06019","Fresno County, CA","365","35","191","114","25",".",".","197","147","88",".","1","186","174","4"
"06021","Glenn County, CA","361","181","179","1",".",".",".","101","67","50",".",".","138","223","."
"06023","Humboldt County, CA","365","226","138","1",".",".",".","108","62","44","1",".","81","282","1"
"06025","Imperial County, CA","365","137","189","35","3","1",".","207","101","58","2","26","179","69","89"
"06027","Inyo County, CA","365","219","125","10","7","2","2","417","87","47",".",".","272","46","47"
"06029","Kern County, CA","365","14","215","104","31","1",".","242","148","90",".",".","150","213","2"
"06031","Kings County, CA","365","57","213","80","14","1",".","204","130","77",".",".","182","142","41"
"06033","Lake County, CA","364","355","9",".",".",".",".","80","44","33",".",".","355","9","."
"06037","Los Angeles County, CA","365","8","257","75","25",".",".","197","140","79",".","13","155","196","1"
"06039","Madera County, CA","365","31","260","64","10",".",".","190","119","72",".",".","150","211","4"
"06041","Marin County, CA","365","157","206","2",".",".",".","124","66","52","1","1","27","336","."
"06043","Mariposa County, CA","365","128","215","21",".","1",".","255","90","56",".",".","217","147","1"
"06045","Mendocino County, CA","331","245","86",".",".",".",".","82","64","29",".",".","25","144","162"
"06047","Merced County, CA","364","105","211","43","5",".",".","165","112","62",".","1","174","188","1"
"06051","Mono County, CA","365","311","43","6","1",".","4","3479","58","19",".",".",".","37","328"
"06053","Monterey County, CA","365","251","114",".",".",".",".","97","57","44",".","1","112","238","14"
"06055","Napa County, CA","365","150","212","3",".",".",".","119","73","53",".","4","77","284","."
"06057","Nevada County, CA","362","202","139","21",".",".",".","140","92","48",".",".","330","32","."
"06059","Orange County, CA","365","79","274","12",".",".",".","143","75","59",".","16","62","284","3"
"06061","Placer County, CA","365","126","222","13","4",".",".","165","84","55",".","1","165","199","."
"06063","Plumas County, CA","119","55","49","13","2",".",".","166","113","53",".",".",".","119","."
"06065","Riverside County, CA","365","19","210","98","36",".","2","450","151","88",".",".","178","146","41"
"06067","Sacramento County, CA","365","131","200","32","2",".",".","154","100","58",".",".","163","197","5"
"06069","San Benito County, CA","365","270","90","5",".",".",".","112","64","44",".",".","276","85","4"
"06071","San Bernardino County, CA","365","35","195","83","49","3",".","218","159","84","1","15","204","132","13"
"06073","San Diego County, CA","365","23","305","35","1",".","1","630","101","67","7","13","110","209","26"
"06075","San Francisco County, CA","365","193","170","2",".",".",".","133","68","48",".","28","58","279","."
"06077","San Joaquin County, CA","365","43","289","24","9",".",".","159","99","62",".",".","47","310","8"
"06079","San Luis Obispo County, CA","365","65","286","14",".",".",".","136","90","62",".",".","135","210","20"
"06081","San Mateo County, CA","365","193","168","4",".",".",".","115","70","49",".","7","53","305","."
"06083","Santa Barbara County, CA","365","149","213","3",".",".",".","122","65","52",".",".","152","211","2"
"06085","Santa Clara County, CA","365","129","228","7","1",".",".","153","80","55",".",".","82","283","."
"06087","Santa Cruz County, CA","365","249","94","22",".",".",".","149","84","42",".",".","163","202","."
"06089","Shasta County, CA","365","294","69","2",".",".",".","105","64","42",".",".","344","20","1"
"06093","Siskiyou County, CA","361","323","34","4",".",".",".","121","51","37",".",".","333","27","1"
"06095","Solano County, CA","365","161","193","11",".",".",".","132","76","53",".","1","103","261","."
"06097","Sonoma County, CA","365","240","125",".",".",".",".","86","65","41",".","1","145","217","2"
"06099","Stanislaus County, CA","365","117","183","54","11",".",".","170","118","64",".","1","188","175","1"
"06101","Sutter County, CA","365","176","180","9",".",".",".","126","84","52",".","3","202","160","."
"06103","Tehama County, CA","365","233","121","11",".",".",".","136","76","44",".",".","282","82","1"
"06105","Trinity County, CA","218","140","62","16",".",".",".","143","97","34",".",".",".","203","15"
"06107","Tulare County, CA","365","33","194","111","26","1",".","201","143","84",".",".","196","169","."
"06109","Tuolumne County, CA","364","284","78","2",".",".",".","119","64","42.5",".",".","364",".","."
"06111","Ventura County, CA","365","116","238","10","1",".",".","159","77","55",".","4","152","205","4"
"06113","Yolo County, CA","365","249","116",".",".",".",".","92","65","42",".","3","236","125","1"
