"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"06001","Alameda County, CA","365","161","199","4","1",".",".","179","72","52",".","7","81","277","."
"06005","Amador County, CA","361","302","48","10","1",".",".","151","64","35",".",".","361",".","."
"06007","Butte County, CA","365","167","185","13",".",".",".","126","84","53",".",".","211","154","."
"06009","Calaveras County, CA","365","249","103","12","1",".",".","154","84","44",".",".","290","75","."
"06011","Colusa County, CA","353","307","45","1",".",".",".","119","54","39",".",".","285","63","5"
"06013","Contra Costa County, CA","365","288","68","8","1",".",".","154","67","40",".","6","262","95","2"
"06015","Del Norte County, CA","110","109","1",".",".",".",".","57","29.5","13.5",".",".",".","81","29"
"06017","El Dorado County, CA","365","250","90","23","2",".",".","192","93","42",".",".","364","1","."
"06019","Fresno County, CA","365","48","230","65","21","1",".","209","130","71",".",".","163","202","."
"06021","Glenn County, CA","365","229","136",".",".",".",".","92","62","44",".",".","163","202","."
"06023","Humboldt County, CA","365","348","17",".",".",".",".","75","41","30","5","6","301","52","1"
"06025","Imperial County, CA","365","151","163","51",".",".",".","140","108","57","1","49","260","54","1"
"06027","Inyo County, CA","365","236","98","13","1","6","11","4909","93","44",".",".","218","87","60"
"06029","Kern County, CA","365","43","197","85","38","2",".","202","151","81",".",".","175","187","3"
"06031","Kings County, CA","365","30","252","65","15","3",".","208","129","72",".",".","123","241","1"
"06033","Lake County, CA","361","356","5",".",".",".",".","74","44","35",".",".","357","4","."
"06037","Los Angeles County, CA","365","14","237","99","15",".",".","200","138","78",".","23","147","194","1"
"06039","Madera County, CA","364","208","128","18","9","1",".","201","90","47",".","18","265","79","2"
"06041","Marin County, CA","365","191","170","4",".",".",".","128","63","49",".","13","52","300","."
"06043","Mariposa County, CA","365","152","187","23","3",".",".","187","93","52",".",".","232","132","1"
"06045","Mendocino County, CA","361","250","111",".",".",".",".","75","58","42",".",".","27","310","24"
"06047","Merced County, CA","365","106","220","33","6",".",".","177","101","59",".","3","157","202","3"
"06051","Mono County, CA","365","308","35","4","5","1","12","4658","61","18",".",".",".","30","335"
"06053","Monterey County, CA","365","292","73",".",".",".",".","100","55","40",".","2","177","185","1"
"06055","Napa County, CA","365","215","148","1","1",".",".","159","64","46",".","2","108","255","."
"06057","Nevada County, CA","365","242","101","21","1",".",".","154","90","44",".","1","342","22","."
"06059","Orange County, CA","365","65","292","7","1",".",".","177","82","61",".","10","55","300","."
"06061","Placer County, CA","365","127","208","26","4",".",".","200","97","55",".","2","172","191","."
"06063","Plumas County, CA","124","70","51","3",".",".",".","110","78","44",".",".",".","124","."
"06065","Riverside County, CA","365","11","208","95","48","3",".","217","156","87",".","1","175","161","28"
"06067","Sacramento County, CA","365","161","176","20","7","1",".","207","97","53",".","6","192","166","1"
"06069","San Benito County, CA","365","288","70","7",".",".",".","126","60","41",".",".","288","77","."
"06071","San Bernardino County, CA","365","12","218","80","48","7",".","219","164","84",".","5","197","163","."
"06073","San Diego County, CA","365","35","305","21","4",".",".","192","93","64",".","27","123","213","2"
"06075","San Francisco County, CA","365","171","191","3",".",".",".","125","70","51",".","29","51","284","1"
"06077","San Joaquin County, CA","365","168","184","12","1",".",".","174","83","52",".","13","153","199","."
"06079","San Luis Obispo County, CA","365","124","207","33","1",".",".","161","97","55",".",".","198","146","21"
"06081","San Mateo County, CA","362","250","110","2",".",".",".","122","61","42","2","8","111","241","."
"06083","Santa Barbara County, CA","365","219","139","7",".",".",".","143","67","47",".","1","231","132","1"
"06085","Santa Clara County, CA","365","181","172","10","2",".",".","164","69","51",".","7","92","266","."
"06087","Santa Cruz County, CA","365","311","54",".",".",".",".","95","53","37",".",".","155","210","."
"06089","Shasta County, CA","365","269","81","15",".",".",".","119","84","43",".",".","347","18","."
"06093","Siskiyou County, CA","361","350","11",".",".",".",".","90","45","33",".",".","343","17","1"
"06095","Solano County, CA","365","242","119","4",".",".",".","136","68","42",".","8","171","186","."
"06097","Sonoma County, CA","365","268","97",".",".",".",".","93","59","36",".","4","120","240","1"
"06099","Stanislaus County, CA","365","125","202","32","6",".",".","177","102","58",".",".","172","193","."
"06101","Sutter County, CA","365","163","198","3","1",".",".","177","71","52",".","4","106","255","."
"06103","Tehama County, CA","365","128","219","18",".",".",".","136","90","55",".",".","171","194","."
"06105","Trinity County, CA","122","122",".",".",".",".",".","46","26","11",".",".",".","86","36"
"06107","Tulare County, CA","365","65","188","78","34",".",".","197","150","72",".","1","189","175","."
"06109","Tuolumne County, CA","365","274","83","8",".",".",".","147","80","41",".",".","365",".","."
"06111","Ventura County, CA","365","202","145","14","4",".",".","161","87","48",".","10","296","59","."
"06113","Yolo County, CA","362","273","86","3",".",".",".","109","61","41",".","6","220","133","3"
