"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"06001","Alameda County, CA","61","52","9",".",".",".",".","63","55","39","1",".","16","44","."
"06005","Amador County, CA","359","281","72","6",".",".",".","143","74","40",".",".","359",".","."
"06007","Butte County, CA","366","231","133",".","1","1",".","213","71","46",".",".","230","128","8"
"06009","Calaveras County, CA","359","261","90","8",".",".",".","129","74","42",".",".","269","90","."
"06011","Colusa County, CA","366","68","298",".",".",".",".","90","63","54",".",".","27","336","3"
"06013","Contra Costa County, CA","350","183","167",".",".",".",".","94","63","49",".",".","11","339","."
"06015","Del Norte County, CA","288","231","55","2",".",".",".","125","54","32",".",".",".","288","."
"06017","El Dorado County, CA","366","262","96","8",".",".",".","115","80","44",".",".","360","1","5"
"06019","Fresno County, CA","366","71","216","65","14",".",".","169","126","67",".",".","193","157","16"
"06021","Glenn County, CA","366","292","74",".",".",".",".","80","54","39",".",".","228","133","5"
"06023","Humboldt County, CA","366","266","100",".",".",".",".","86","58","38",".",".","144","205","17"
"06025","Imperial County, CA","366","83","233","42","5","2","1","341","107","63",".","1","192","104","69"
"06027","Inyo County, CA","366","90","246","17","7","2","4","1322","93","61",".",".","186","132","48"
"06029","Kern County, CA","366","76","196","73","21",".",".","177","140","72",".",".","222","126","18"
"06031","Kings County, CA","366","100","231","33","2",".",".","156","100","60",".",".","160","150","56"
"06033","Lake County, CA","363","361","2",".",".",".",".","67","41","32",".",".","357","6","."
"06037","Los Angeles County, CA","366","38","195","78","46","9",".","230","164","80",".","1","196","160","9"
"06039","Madera County, CA","366","163","178","25",".",".",".","140","96","52",".",".","203","119","44"
"06041","Marin County, CA","120","105","15",".",".",".",".","68","52","29",".","2","48","70","."
"06043","Mariposa County, CA","366","255","105","6",".",".",".","133","74","45",".",".","332","34","."
"06045","Mendocino County, CA","366","244","122",".",".",".",".","83","57","42.5",".",".","89","275","2"
"06047","Merced County, CA","366","168","163","34","1",".",".","151","100","52",".",".","232","114","20"
"06051","Mono County, CA","366","341","25",".",".",".",".","69","45","19",".",".",".","229","137"
"06053","Monterey County, CA","366","292","74",".",".",".",".","71","55","39",".",".","176","175","15"
"06057","Nevada County, CA","365","313","50","2",".",".",".","132","55","36",".",".","134","231","."
"06059","Orange County, CA","366","120","230","13","3",".",".","172","84","54",".","9","115","240","2"
"06061","Placer County, CA","366","188","151","27",".",".",".","140","93","50",".",".","258","108","."
"06063","Plumas County, CA","366","188","162","7","7","2",".","253","88","48",".",".",".","366","."
"06065","Riverside County, CA","366","43","176","80","60","7",".","213","174","86",".",".","208","120","38"
"06067","Sacramento County, CA","366","182","169","15",".",".",".","140","84","51",".",".","183","183","."
"06069","San Benito County, CA","366","260","105","1",".",".",".","105","58","43",".",".","203","163","."
"06071","San Bernardino County, CA","366","41","181","57","61","25","1","593","185","87",".","6","215","127","18"
"06073","San Diego County, CA","366","47","267","48","4",".",".","161","105","71",".",".","200","153","13"
"06075","San Francisco County, CA","60","60",".",".",".",".",".","38","32","29",".","23","37",".","."
"06077","San Joaquin County, CA","366","178","177","11",".",".",".","140","79","51",".",".","135","222","9"
"06079","San Luis Obispo County, CA","366","193","163","10",".",".",".","122","80","49",".",".","256","107","3"
"06081","San Mateo County, CA","61","42","19",".",".",".",".","64","56","44","1",".","8","52","."
"06083","Santa Barbara County, CA","366","193","171","2",".",".",".","146","60","49",".",".","148","210","8"
"06085","Santa Clara County, CA","358","200","157","1",".",".",".","111","62","47",".","1","27","330","."
"06087","Santa Cruz County, CA","366","293","73",".",".",".",".","80","54","39",".",".","108","258","."
"06089","Shasta County, CA","366","268","94","3",".","1",".","232","69","44",".",".","285","81","."
"06093","Siskiyou County, CA","79","69","10",".",".",".",".","85","55","11",".",".",".","79","."
"06095","Solano County, CA","365","343","22",".",".",".",".","80","46","36",".","2","338","23","2"
"06097","Sonoma County, CA","366","365","1",".",".",".",".","53","31","11","1",".","43","15","307"
"06099","Stanislaus County, CA","366","166","162","38",".",".",".","150","101","52.5",".",".","209","140","17"
"06101","Sutter County, CA","366","195","166","5",".",".",".","115","80","49",".",".","218","148","."
"06103","Tehama County, CA","366","252","112","2",".",".",".","109","71","43",".",".","276","89","1"
"06105","Trinity County, CA","357","258","98","1",".",".",".","113","62","31",".",".",".","357","."
"06107","Tulare County, CA","366","76","179","83","28",".",".","185","147","71",".",".","209","150","7"
"06109","Tuolumne County, CA","354","286","64","4",".",".",".","115","67","40",".",".","354",".","."
"06111","Ventura County, CA","366","191","160","14","1",".",".","176","84","50",".",".","243","120","3"
"06113","Yolo County, CA","366","238","127","1",".",".",".","118","63","45",".",".","198","168","."
