"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"06007","Butte County, CA","14","10","4",".",".",".",".","85","71","39.5",".",".",".","14","."
"06011","Colusa County, CA","90","87","3",".",".",".",".","60","30","9",".",".",".","90","."
"06019","Fresno County, CA","90","67","21","2",".",".",".","111","61.5","38",".",".","48","42","."
"06023","Humboldt County, CA","99","76","23",".",".",".",".","75","55","41",".",".",".","99","."
"06025","Imperial County, CA","40","18","21","1",".",".",".","103","88","52",".",".","5","26","9"
"06027","Inyo County, CA","86","86",".",".",".",".",".","48","44","39",".",".","59","10","17"
"06029","Kern County, CA","59","13","44","2",".",".",".","105","90","62",".",".","6","53","."
"06037","Los Angeles County, CA","60","9","45","3","3",".",".","179","104.5","64.5","1","3","4","47","5"
"06043","Mariposa County, CA","54","54",".",".",".",".",".","50","48","44",".",".","54",".","."
"06059","Orange County, CA","60","26","33","1",".",".",".","139","75","53","1","7","9","41","2"
"06061","Placer County, CA","31","12","19",".",".",".",".","71","66","53",".",".","6","25","."
"06063","Plumas County, CA","13","5","7","1",".",".",".","107","80","59",".",".",".","13","."
"06065","Riverside County, CA","88","35","46","4","2",".","1","365","93","54",".",".","41","40","7"
"06067","Sacramento County, CA","59","32","27",".",".",".",".","84","73","47",".",".",".","59","."
"06069","San Benito County, CA","57","57",".",".",".",".",".","44","41","36",".",".","57",".","."
"06071","San Bernardino County, CA","60","17","40","3",".",".",".","129","86","59","1",".","13","43","3"
"06073","San Diego County, CA","97","77","19","1",".",".",".","103","59","35",".",".","20","77","."
"06079","San Luis Obispo County, CA","31","22","9",".",".",".",".","57","52","43",".",".","11","20","."
"06083","Santa Barbara County, CA","91","88","3",".",".",".",".","53","45","39","1",".","73","17","."
"06089","Shasta County, CA","65","65",".",".",".",".",".","48","44","40",".",".","59",".","6"
"06095","Solano County, CA","12","12",".",".",".",".",".","16","15","5.5",".",".",".",".","12"
"06099","Stanislaus County, CA","15","9","6",".",".",".",".","87","85","37",".",".",".","15","."
"06107","Tulare County, CA","65","56","8","1",".",".",".","104","57","34",".",".","43","22","."
"06111","Ventura County, CA","90","70","19","1",".",".",".","125","54","43.5",".",".","57","27","6"
"06113","Yolo County, CA","15","15",".",".",".",".",".","26","24","10",".",".",".",".","15"
