"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"06001","Alameda County, CA","365","183","174","8",".",".",".","150","67","50",".","8","89","268","."
"06005","Amador County, CA","355","308","45","2",".",".",".","115","51","39",".",".","355",".","."
"06007","Butte County, CA","365","171","189","3","2",".",".","180","71","51",".",".","112","252","1"
"06009","Calaveras County, CA","360","288","71","1",".",".",".","108","60","43",".",".","297","62","1"
"06011","Colusa County, CA","365","260","105",".",".",".",".","85","61","41",".",".","143","184","38"
"06013","Contra Costa County, CA","365","238","123","4",".",".",".","129","64","43",".","3","160","201","1"
"06015","Del Norte County, CA","248","210","38",".",".",".",".","74","53","26",".",".",".","248","."
"06017","El Dorado County, CA","365","273","86","6",".",".",".","122","74","43",".",".","353","3","9"
"06019","Fresno County, CA","365","113","186","64","2",".",".","187","115","63",".","1","225","121","18"
"06021","Glenn County, CA","362","274","88",".",".",".",".","86","58","42",".",".","223","128","11"
"06023","Humboldt County, CA","363","340","23",".",".",".",".","69","44","28","2",".","247","72","42"
"06025","Imperial County, CA","365","94","250","19","2",".",".","185","93","61",".",".","176","137","52"
"06027","Inyo County, CA","365","226","127","6","2","1","3","653","84","47",".",".","310","26","29"
"06029","Kern County, CA","365","91","179","87","6","1","1","553","122","69",".","1","222","113","29"
"06031","Kings County, CA","365","123","201","37","2",".","2","508","105","58",".",".","158","135","72"
"06033","Lake County, CA","360","360",".",".",".",".",".","50","41.5","31",".",".","351","8","1"
"06037","Los Angeles County, CA","365","34","245","57","28","1",".","201","136","72",".","19","166","176","4"
"06039","Madera County, CA","365","167","185","13",".",".",".","140","84","52",".",".","219","109","37"
"06041","Marin County, CA","363","291","71","1",".",".",".","133","55","37",".","7","145","211","."
"06043","Mariposa County, CA","365","192","159","9","5",".",".","185","84","50",".",".","243","122","."
"06045","Mendocino County, CA","361","290","71",".",".",".",".","80","54","36",".",".","145","210","6"
"06047","Merced County, CA","365","176","182","7",".",".",".","119","80","51",".",".","198","165","2"
"06051","Mono County, CA","365","242","108","6",".",".","9","4227","83","34",".",".",".","326","39"
"06053","Monterey County, CA","365","303","61","1",".",".",".","144","54","39","2",".","218","138","7"
"06055","Napa County, CA","363","295","66","2",".",".",".","119","54","37","2",".","201","160","."
"06057","Nevada County, CA","361","251","105","5",".",".",".","122","71","45",".",".","267","94","."
"06059","Orange County, CA","365","157","192","15","1",".",".","172","87","53",".","6","183","171","5"
"06061","Placer County, CA","365","198","158","9",".",".",".","136","77","49",".",".","209","153","3"
"06063","Plumas County, CA","341","220","116","5",".",".",".","138","71","34",".",".",".","341","."
"06065","Riverside County, CA","365","53","192","91","29",".",".","185","147","77",".",".","216","105","44"
"06067","Sacramento County, CA","365","175","180","10",".",".",".","140","84","52",".","1","182","177","5"
"06069","San Benito County, CA","365","318","47",".",".",".",".","90","52","39",".",".","304","55","6"
"06071","San Bernardino County, CA","365","29","203","71","54","8",".","213","172","81",".","4","208","145","8"
"06073","San Diego County, CA","365","38","302","23","2",".",".","169","93","66",".","1","127","234","3"
"06075","San Francisco County, CA","365","251","113","1",".",".",".","108","58","39",".","11","115","239","."
"06077","San Joaquin County, CA","365","202","151","11","1",".",".","190","82","47",".",".","194","157","14"
"06079","San Luis Obispo County, CA","365","196","166","3",".",".",".","108","74","49",".",".","232","117","16"
"06081","San Mateo County, CA","365","276","87","2",".",".",".","122","57","39",".","13","128","224","."
"06083","Santa Barbara County, CA","365","242","122","1",".",".",".","105","63","45",".",".","218","139","8"
"06085","Santa Clara County, CA","365","205","156","4",".",".",".","136","68","48",".",".","124","240","1"
"06087","Santa Cruz County, CA","365","291","74",".",".",".",".","74","54","39",".",".","157","208","."
"06089","Shasta County, CA","364","306","58",".",".",".",".","100","54","42",".",".","348","14","2"
"06093","Siskiyou County, CA","365","302","59","2","2",".",".","164","54","38",".",".","234","131","."
"06095","Solano County, CA","365","226","138","1",".",".",".","119","64","45",".","1","115","249","."
"06097","Sonoma County, CA","365","318","47",".",".",".",".","87","52","36",".","1","199","158","7"
"06099","Stanislaus County, CA","365","168","174","22","1",".",".","177","92","52",".",".","204","151","10"
"06101","Sutter County, CA","365","200","163","2",".",".",".","110","71","48",".",".","195","164","6"
"06103","Tehama County, CA","365","263","102",".",".",".",".","93","64","43",".",".","295","70","."
"06105","Trinity County, CA","269","225","42","2",".",".",".","113","56","23",".",".",".","269","."
"06107","Tulare County, CA","365","98","186","78","2","1",".","280","122","67",".",".","204","141","20"
"06109","Tuolumne County, CA","358","273","83","2",".",".",".","108","67","43",".",".","358",".","."
"06111","Ventura County, CA","365","175","181","9",".",".",".","126","77","51",".","2","219","135","9"
"06113","Yolo County, CA","365","252","112","1",".",".",".","136","63","43",".","1","244","120","."
