"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"06001","Alameda County, CA","366","155","196","13","2",".",".","154","74","52",".","1","119","246","."
"06003","Alpine County, CA","24","19","5",".",".",".",".","69","55","29",".",".",".","24","."
"06005","Amador County, CA","366","304","57","5",".",".",".","115","64","37",".",".","366",".","."
"06007","Butte County, CA","366","115","235","16",".",".",".","127","87","57",".",".","139","227","."
"06009","Calaveras County, CA","366","195","149","22",".",".",".","150","87","49",".",".","231","134","1"
"06011","Colusa County, CA","366","222","144",".",".",".",".","92","64","45",".",".","170","184","12"
"06013","Contra Costa County, CA","366","210","153","3",".",".",".","143","63","46",".",".","127","239","."
"06015","Del Norte County, CA","177","156","21",".",".",".",".","69","52","26",".",".",".","177","."
"06017","El Dorado County, CA","366","221","102","31","12",".",".","172","105","45",".",".","362","4","."
"06019","Fresno County, CA","366","62","199","80","25",".",".","190","140","76",".",".","188","166","12"
"06021","Glenn County, CA","362","194","168",".",".",".",".","92","64","48",".",".","129","229","4"
"06023","Humboldt County, CA","366","288","78",".",".",".",".","77","57","38",".","1","186","175","4"
"06025","Imperial County, CA","366","64","257","39","3","1","2","546","105","61",".","1","114","164","87"
"06027","Inyo County, CA","366","238","105","15","4","1","3","418","87","45",".",".","296","34","36"
"06029","Kern County, CA","366","46","204","102","14",".",".","169","136","80",".",".","210","149","7"
"06031","Kings County, CA","366","61","231","71","3",".",".","156","115","72",".",".","162","157","47"
"06033","Lake County, CA","365","356","9",".",".",".",".","74","44","33",".",".","361","3","1"
"06037","Los Angeles County, CA","366","7","255","81","19","4",".","226","134","77",".","20","150","195","1"
"06039","Madera County, CA","366","91","225","47","3",".",".","156","105","63",".",".","186","168","12"
"06041","Marin County, CA","366","296","70",".",".",".",".","90","55","36",".","2","132","232","."
"06043","Mariposa County, CA","366","197","149","19","1",".",".","159","93","48",".",".","238","120","8"
"06045","Mendocino County, CA","364","287","77",".",".",".",".","70","54","39",".",".","93","270","1"
"06047","Merced County, CA","366","115","216","33","2",".",".","151","100","58",".",".","174","190","2"
"06051","Mono County, CA","366","312","21","3","6",".","24","7063","63","18",".",".",".","40","326"
"06053","Monterey County, CA","366","290","65","3","8",".",".","185","55","37",".",".","190","149","27"
"06055","Napa County, CA","366","219","147",".",".",".",".","90","61","44",".",".","103","262","1"
"06057","Nevada County, CA","366","232","89","40","5",".",".","179","101","45",".",".","350","16","."
"06059","Orange County, CA","366","87","264","13","2",".",".","169","88","58",".","14","116","235","1"
"06061","Placer County, CA","366","187","159","17","3",".",".","166","80","50",".","3","172","191","."
"06063","Plumas County, CA","355","203","141","10","1",".",".","152","76","43",".",".",".","355","."
"06065","Riverside County, CA","366","23","214","86","37","4","2","379","154","83",".",".","187","131","48"
"06067","Sacramento County, CA","366","136","191","33","6",".",".","172","101","55",".",".","171","195","."
"06069","San Benito County, CA","366","298","63","5",".",".",".","126","61","39",".",".","323","43","."
"06071","San Bernardino County, CA","366","9","219","78","48","12",".","217","172","83.5",".","18","182","159","7"
"06073","San Diego County, CA","366","30","294","40","2",".",".","164","105","68",".","2","175","189","."
"06075","San Francisco County, CA","366","236","130",".",".",".",".","71","58","41","1","26","108","231","."
"06077","San Joaquin County, CA","366","62","278","25","1",".",".","166","93","60",".","1","89","275","1"
"06079","San Luis Obispo County, CA","366","140","217","8","1",".",".","156","84","55",".",".","199","153","14"
"06081","San Mateo County, CA","366","214","152",".",".",".",".","70","59","46.5","1","11","77","277","."
"06083","Santa Barbara County, CA","366","191","163","9","2",".","1","313","69","50",".",".","166","171","29"
"06085","Santa Clara County, CA","366","187","178","1",".",".",".","101","64","50",".","4","89","273","."
"06087","Santa Cruz County, CA","366","306","60",".",".",".",".","76","54","35",".",".","155","211","."
"06089","Shasta County, CA","366","296","56","14",".",".",".","140","74","41",".",".","358","8","."
"06093","Siskiyou County, CA","362","351","11",".",".",".",".","93","44","27",".",".","333","29","."
"06095","Solano County, CA","366","213","151","2",".",".",".","105","65","47",".","3","133","230","."
"06097","Sonoma County, CA","366","323","43",".",".",".",".","87","51","34",".",".","260","104","2"
"06099","Stanislaus County, CA","366","102","221","40","3",".",".","164","103","59",".",".","160","204","2"
"06101","Sutter County, CA","366","115","219","32",".",".",".","147","97","57.5",".",".","154","212","."
"06103","Tehama County, CA","366","218","106","37","5",".",".","174","108","45",".",".","303","62","1"
"06105","Trinity County, CA","167","83","84",".",".",".",".","97","73","51",".",".",".","167","."
"06107","Tulare County, CA","366","55","187","102","22",".",".","177","145","77",".",".","198","166","2"
"06109","Tuolumne County, CA","354","223","86","38","7",".",".","164","108","44",".",".","354",".","."
"06111","Ventura County, CA","366","120","237","9",".",".",".","147","84","56",".",".","129","233","4"
"06113","Yolo County, CA","366","246","116","4",".",".",".","115","64","43",".","1","202","162","1"
